450465,155
450465,272
450465,1927
450465,141052
450465,1924
424694,369192
424694,397538
424694,10139
424694,1420
401469,9679
401469,1572
401469,398181
401469,5503
401469,9739
483906,263115
483906,272
483906,155
483906,1927
483906,9531
332562,25196
332562,525
332562,254470
332562,458737
332562,45272
504172,4836
504172,13815
504172,436
504172,253
504172,769
369972,10734
369972,3558
369972,1646
369972,423899
369972,769
433249,76341
433249,263115
433249,336843
433249,119450
433249,101299
401847,769
401847,467952
401847,424694
401847,152532
401847,303858
505954,423
505954,424
505954,369885
505954,637
505954,1771
375262,449176
375262,424694
375262,507076
375262,467952
375262,376867
465914,396371
465914,1645
465914,389
465914,489
465914,398173
337167,281957
337167,341174
337167,392044
337167,11027
337167,867
405774,294254
405774,198663
405774,131631
405774,428078
405774,185
429197,424
429197,508
429197,363676
429197,451915
429197,389015
490132,449176
490132,26280
490132,184352
490132,376867
490132,1213
487558,424
487558,363676
487558,467952
157336,568
157336,75612
157336,126889
157336,2048
157336,348
489999,300668
489999,338970
489999,340677
489999,284276
489999,2275
263115,297762
263115,49521
263115,246655
49017,36647
49017,228150
49017,400155
49017,12437
49017,7131
399360,281957
399360,290512
399360,309050
399360,75174
399360,44363
451915,487558
451915,424
451915,467952
484247,336843
484247,346364
484247,101299
484247,454983
484247,452507
500852,238
500852,240
500852,769
500852,1422
500852,23483
426426,1949
426426,13
426426,171274
426426,112160
426426,50014
400535,4771
400535,1266
400535,562
400535,1701
400535,2320
446021,77
446021,13
446021,1368
446021,1369
446021,2604
375785,449176
375785,398818
375785,84892
375785,100898
375785,11421
447332,381283
447332,405774
447332,110415
447332,19908
447332,11472
315635,1924
315635,1452
315635,8536
315635,9531
315635,13640
470044,281957
470044,450322
470044,392044
470044,55846
470044,336843
155,272
155,49026
155,209112
155,69735
155,263115
210577,346364
210577,75780
210577,346685
210577,336843
8966,466282
8966,50619
8966,24021
8966,203739
8966,123553
205596,467952
205596,449176
205596,184352
205596,423
205596,424
150540,260513
150540,812
150540,12092
150540,11360
150540,4977
316029,424694
316029,1125
316029,640
316029,769
316029,363676
455207,11931
455207,8966
455207,581
455207,9880
455207,454983
169917,4771
169917,769
169917,398181
169917,8012
169917,37645
458594,10781
458594,357096
458594,74997
458594,45569
458594,956
286217,568
286217,157336
286217,95
286217,395992
286217,369972
417261,425972
417261,443463
417261,307081
417261,194662
417261,460071
324786,374720
324786,616
324786,227306
324786,1369
324786,423
242582,9654
242582,449443
242582,218
242582,64690
242582,396371
407436,34584
407436,10140
407436,581
407436,281957
520360,500
520360,949
520360,1844
520360,531593
520360,339403
194662,98566
194662,14
194662,155
194662,293660
194662,487670
399055,9738
399055,440298
399055,150689
399055,381284
399055,435
475132,324786
475132,424694
475132,425336
475132,640
475132,769
49026,272
49026,209112
49026,69735
49026,263115
374720,369885
374720,676
374720,339259
272,98566
272,299536
272,297762
272,263115
272,324849
340613,843
340613,346685
340613,340666
340613,8999
340613,11004
244786,769
244786,74997
244786,281957
244786,398181
244786,2142
281957,395834
281957,994
281957,336843
281957,49021
281957,3134
395990,4771
395990,64689
395990,1572
395990,562
466411,294254
466411,262500
466411,465136
466411,336843
466411,8966
398818,449176
398818,26371
398818,424694
398818,376867
329865,126889
329865,157336
329865,384521
329865,828
329865,348
361292,259693
361292,561
361292,1487
361292,71
361292,208763
398173,10781
398173,1696
398173,984
398173,12521
398173,5486
307081,312221
307081,70
307081,396371
307081,60308
307081,16562
537996,995
537996,872
537996,9394
537996,14128
537996,507
65754,1949
65754,281957
65754,392044
65754,210577
566512,452507
566512,378018
566512,101299
566512,201085
566512,521
254128,479475
254128,11123
254128,8656
254128,80278
254128,296524
429351,281957
429351,423899
429351,369972
429351,300671
49047,157336
49047,2067
49047,62
49047,395992
49047,369972
216015,12689
216015,8966
216015,466282
216015,9813
216015,296096
313369,525
313369,2976
313369,10545
313369,6477
228150,369885
228150,857
228150,1771
228150,374720
228150,424
446101,4421
446101,10035
446101,342737
446101,336804
446101,366696
575185,14564
575185,397981
575185,173484
575185,84348
575185,9957
16869,424
16869,228150
16869,637
16869,1771
16869,423
168259,281957
168259,345887
168259,156022
168259,3134
168259,395834
372058,8392
372058,81
372058,378064
372058,505262
372058,14069
440472,10098
440472,404245
381284,369972
381284,487558
381284,50014
381284,640
381284,769
359940,281957
359940,600
359940,458737
359940,345887
359940,395834
150689,809
150689,10882
150689,2312
150689,808
150689,5393
315837,201088
315837,9323
315837,12162
315837,4349
315837,5548
350,65754
350,281957
350,466282
350,465136
350,581
106646,13161
106646,627
106646,400535
106646,1359
106646,152532
484436,445571
484436,9598
484436,450322
484436,10345
484436,370755
438808,261023
438808,429203
438808,504172
438808,2034
438808,4982
454227,363676
454227,451915
454227,389015
454227,316029
454227,324786
419743,449176
419743,184352
419743,26280
419743,377154
419743,126331
241554,10651
241554,281957
241554,345887
241554,984
241554,979
401545,1417
401545,1124
401545,787
401545,2501
401545,2503
458737,346685
458737,324786
458737,458594
1949,16995
1949,984
1949,4638
1949,311
1949,339692
312221,60308
312221,319888
312221,9443
312221,16562
264660,438590
264660,62
264660,9738
264660,2048
264660,157336
281338,101299
281338,262500
281338,336843
281338,131631
281338,262504
4922,458594
4922,510
4922,458737
4922,956
4922,378018
455980,460019
455980,4922
455980,363676
455980,390043
455980,353486
334543,769
334543,424
334543,451915
334543,487558
334543,467952
11324,336843
11324,392044
11324,75780
11324,181283
11324,101299
11036,1366
11036,1246
11036,7555
11036,11232
11036,688
472451,449176
472451,184352
472451,398818
472451,424694
472451,376867
68718,272
68718,862
68718,600
68718,1374
68718,3131
438145,281957
