443463,Leave No Trace
44264,True Grit
464502,Acrimony
345938,The Shack
254320,The Lobster
385360,Billionaire Boys Club
4349,The Kingdom
254172,Fathers and Daughters
346685,The Girl on the Train
389015,"I, Tonya"
44115,127 Hours
455108,The Little Stranger
290595,The Huntsman: Winter's War
68734,Argo
124905,Godzilla
572667,Terlalu Tampan
283366,Miss Peregrine's Home for Peculiar Children
70,Million Dollar Baby
454652,Colette
493900,303
37799,The Social Network
109424,Captain Phillips
353326,The Man Who Knew Infinity
396371,Molly's Game
338766,Hell or High Water
395841,Hold the Dark
193756,Lone Survivor
1495,Kingdom of Heaven
84892,The Perks of Being a Wallflower
557648,Rent
68724,Elysium
514933,Russian Psycho
451925,Time Freak
110415,Snowpiercer
261470,Sorry If I Call You Love
376867,Moonlight
503346,Occupation
154400,The Drop
13223,Gran Torino
121046,Eternity
446791,All the Money in the World
82693,Silver Linings Playbook
429200,Good Time
453201,The 15:17 to Paris
75780,Jack Reacher
400710,Flatliners
274479,Joy
515916,Girl
486947,The Guilty
339103,Gotti
399170,Logan Lucky
395834,Wind River
300671,13 Hours: The Secret Soldiers of Benghazi
41233,Step Up 3D
295011,Patient Zero
339877,Loving Vincent
41592,StreetDance 3D
333371,10 Cloverfield Lane
72570,The Vow
398181,You Were Never Really Here
332567,The Shallows
370663,Below Her Mouth
116745,The Secret Life of Walter Mitty
302401,Snowden
13374,Ice Princess
1246,Rocky Balboa
505192,Shoplifters
196867,Annie
152532,Dallas Buyers Club
222935,The Fault in Our Stars
112160,Sexual Chronicles of a French Family
60308,Moneyball
1372,Blood Diamond
345920,Collateral Beauty
314365,Spotlight
399057,The Killing of a Sacred Deer
4348,Pride & Prejudice
401905,Fahrenheit 451
417678,"Everything, Everything"
12405,Slumdog Millionaire
412862,Ratsasan
87827,Life of Pi
379149,The Foreigner
39254,Real Steel
186,Lucky Number Slevin
470333,Hearts Beat Loud
318846,The Big Short
1164,Babel
4964,Knocked Up
27,9 Songs
4982,American Gangster
429417,Ghost Stories
10947,High School Musical
381289,A Dog's Purpose
339988,The Circle
1427,Perfume: The Story of a Murderer
492258,Cocaine Godmother
1579,Apocalypto
8321,In Bruges
205587,The Judge
82682,Gangster Squad
491418,Instant Family
